,truth,bluesky,mastodon,truth_response,bluesky_response,mastodon_response,truth_Narrative_Frame,truth_Main_Subject,truth_Stance_toward_main_subject,truth_Topic_Focus,bluesky_Narrative_Frame,bluesky_Main_Subject,bluesky_Stance_toward_main_subject,bluesky_Topic_Focus,mastodon_Narrative_Frame,mastodon_Main_Subject,mastodon_Stance_toward_main_subject,mastodon_Topic_Focus,mastodon_Stance_toward_Main_Subject,truth_Explanation,bluesky_Stance_toward_Main_Subject
115,"['Hello, patriots.I hope you\'re having a Great day. I know everybody is seeing the trial for Hunter and all the news coverage, including what Putin has been saying about Donald Trump. We all know that Putin is a war criminal. The man is former KGB killer, thug and extortionist. Make no mistake, this man is an evil individual everything he just said about What has been happening to Trump is 100% true, and he also Set Trump up with the same sentence, hurting him because the democrats will jump all over this and accuse trump of collision with russia all over again. This is why Putin said what he said about Donald Trump. It was purposely designed to hurt donald trump and give the democrats ammo to use against Trump.Putin wants more of Biden, more of the American decline. Putin sees it as punishment for what we did to the ""USSR"" by winning the cold war and turning the former communist entity into a small nation, called Russia. Make no mistake,Putin does not want a new Trump administration.', 'Hello, patriots.I hope you\'re having a Great day. I know everybody is seeing the trial for Hunter and all the news coverage, including what Putin has been saying about Donald Trump. We all know that Putin is a war criminal. The man is former KGB killer, thug and extortionist. Make no mistake, this man is an evil individual everything he just said about What has been happening to Trump is 100% true, and he also Set Trump up with the same sentence, hurting him because the democrats will jump all over this and accuse trump of collision with russia all over again. This is why Putin said what he said about Donald Trump. It was purposely designed to hurt donald trump and give the democrats ammo to use against Trump.Putin wants more of Biden, more of the American decline. Putin sees it as punishment for what we did to the ""USSR"" by winning the cold war and turning the former communist entity into a small nation, called Russia. Make no mistake,Putin does not want a new Trump administration.', 'Hello, patriots.I hope you\'re having a Great day. I know everybody is seeing the trial for Hunter and all the news coverage, including what Putin has been saying about Donald Trump. We all know that Putin is a war criminal. The man is former KGB killer, thug and extortionist. Make no mistake, this man is an evil individual everything he just said about What has been happening to Trump is 100% true, and he also Set Trump up with the same sentence, hurting him because the democrats will jump all over this and accuse trump of collision with russia all over again. This is why Putin said what he said about Donald Trump. It was purposely designed to hurt donald trump and give the democrats ammo to use against Trump.Putin wants more of Biden, more of the American decline. Putin sees it as punishment for what we did to the ""USSR"" by winning the cold war and turning the former communist entity into a small nation, called Russia. Make no mistake,Putin does not want a new Trump administration.', 'Hello, patriots.I hope you\'re having a Great day. I know everybody is seeing the trial for Hunter and all the news coverage, including what Putin has been saying about Donald Trump. We all know that Putin is a war criminal. The man is former KGB killer, thug and extortionist. Make no mistake, this man is an evil individual everything he just said about What has been happening to Trump is 100% true, and he also Set Trump up with the same sentence, hurting him because the democrats will jump all over this and accuse trump of collision with russia all over again. This is why Putin said what he said about Donald Trump. It was purposely designed to hurt donald trump and give the democrats ammo to use against Trump.Putin wants more of Biden, more of the American decline. Putin sees it as punishment for what we did to the ""USSR"" by winning the cold war and turning the former communist entity into a small nation, called Russia. Make no mistake,Putin does not want a new Trump administration.']","[""The concerted effort to ignore Trump's begging for Putin's help in this specific instance goes along with the media’s general surrender on the connections between Trump and Russia.""]","[""The concerted effort to ignore Trump's begging for Putin's help goes along with the media’s general surrender on the connections between Trump and Russia. It was almost absent in the debate about supporting Ukraine and in the more than half-year delay in that aid that has given Russia an advantage in that war that Putin would never have had otherwise. The media’s abdication of any attempt to tell the story of how the Russia attack on the 2016 election has helped bring America to the brink of fascism is one of the main reasons I’m helping Marcy Wheeler put together her Ball of Thread podcast. You can watch the first episode in the link. Given the stakes of November's election, it’s the kind of journalism any serious publication should be doing. You don’t have to be CSI: Moscow to connect the dots of what’s going on here. The GOP is signaling its support for Putin over Ukraine and Nato. And Putin is responding by demonstrating his impunity at home, in Ukraine, and against America’s Nato ally Finland. Putin trollingly suggested in mid-February that he would prefer Biden to Trump. But only because Trump’s anti-Nato statements had gotten so apparent that they might get in the way of Russia’s more subtle efforts to help him.""]","```json
{
  ""Narrative Frame"": ""Foreign Interference/Political Manipulation"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive (argues Trump is being targeted unfairly)"",
  ""Topic Focus"": ""Institutional/Political - focusing on alleged manipulation by foreign actors (Putin) and its impact on the US political system and legal proceedings (Hunter Biden's trial).""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (specifically, media)""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias & Corruption (with elements of Systemic Inequality/Threat to Democracy)"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward Main Subject"": ""Critical"",
  ""Topic Focus"": ""Institutional & Political (with elements of International Relations)""
}
```",Foreign Interference/Political Manipulation,Donald Trump,Supportive (argues Trump is being targeted unfairly),Institutional/Political - focusing on alleged manipulation by foreign actors (Putin) and its impact on the US political system and legal proceedings (Hunter Biden's trial).,Media Bias,Trump,Critical,"Institutional (specifically, media)",Media Bias & Corruption (with elements of Systemic Inequality/Threat to Democracy),Donald Trump,,Institutional & Political (with elements of International Relations),Critical,,
116,"[""Let's hope they do all kill themselves when Trump loses!"", 'Trump is NOT a threat to this REPUBLIC, he is a threat to the Washington Uni-Party and elitist Socialist Democrats!']","['Psychopath Trump Just Made His Most Extreme Threat Yet for If He Loses Election', 'Is this a threat, or if Trump loses, they will kill themselves ?', 'Trump Just Made His Most Extreme Threat Yet for If He Loses Election - The New Republic', 'Unfortunately the Democratic party sees Bernie as a bigger threat to the Republic than Trump.', 'Trump Just Made His Most Extreme Threat Yet for If He Loses Election ']",['Trump Just Made His Most Extreme Threat Yet for If He Loses Election'],"```json
{
  ""Narrative Frame"": ""Persecution & Political Threat"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Political & Institutional""
}
```","```json
{
  ""Narrative Frame"": ""Threat/Crisis & Political Instability"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal/Political (with elements of personal attack)""
}
```","```json
{
  ""Narrative Frame"": ""Threat/Instability & Potential Political Violence"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Legal - Specifically concerning election integrity and potential consequences""
}
```",Persecution & Political Threat,Donald Trump,Supportive,Political & Institutional,Threat/Crisis & Political Instability,Trump,Critical,Legal/Political (with elements of personal attack),Threat/Instability & Potential Political Violence,Trump,Critical,Political/Legal - Specifically concerning election integrity and potential consequences,,,
117,"['trump fought the law and the law won! ""Take me home, mommy, this is too tough for me."" 🎶🔈🆙', 'Trump fought the law and the fake law won For now but we will win in the end!']","['It is 😂 \n\nTrump fought the law and the law won', 'Trump fought the law and the law won.', 'Trump fought the law and the law won 🥳']","['I Fought The Law And The Law Won # TrumpGuiltyASongOrPoem # HashTagGames', 'I Fought the Law and the Law Won # TrumpGuiltyASongOrPoem # HashTagGames', 'I FOUGHT THE LAW AND THE LAW WON (UNMUTE) # Trump # TrumpTrial # TrumpTrialNY # Trump4Prison # TrumpIsGuilty', ""Bangin' Stormy, just once I fought the law and the law won I fought the law and the law won I called on Cohen to get it done I fought the law and the law won I fought the law and the law won # HashtagGames # TrumpGuiltyASongOrPoem""]","```json
{
  ""Narrative Frame"": ""Legal Justice & Persecution (framed as unfair)"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive (despite acknowledging a legal setback; implies eventual victory)"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice/Accountability"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```",Legal Justice & Persecution (framed as unfair),Trump,Supportive (despite acknowledging a legal setback; implies eventual victory),Legal,Legal Justice,Trump,Critical,Legal,Legal Justice/Accountability,Donald Trump,Critical,Legal,,,
118,"['DONALD TRUMP JR. MEETS WITH ARGENTINA’S PRESIDENT JAVIER MILEI WHO IS ALSO MAKING ARGENTINA GREAT AGAIN…‼️ @ DonaldJTrumpJr', 'We need a Javier Milei in every country doing the same thing he is doing in Argentina… Cut the size of government in half and get rid of all the Marxists dragging the economy down.', ""Argentina's Javier Milei Is Draining the Swamp"", 'President of Argentina Javier Milei’s advice to Donald Trump… 🙏🏼 👍🏼💯']","[""Insane things happening in Argentina. Javier Milei is apparently a Trump-like figure, only crazier, if that's possible.""]",['Javier Milei is proving to be the ‘nightmare’ Argentinian researchers feared # argentina # politics # science research # JavierMilei # libertarian # Fellowships # slashed # delayed'],"```json
{
  ""Narrative Frame"": ""Economic Revival/National Renewal (framed as 'Making Argentina Great Again')"",
  ""Main Subject"": ""Javier Milei"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (economic policy, government size, political ideology) & International Relations (implying a model for other countries)""
}
```","```json
{
  ""Narrative Frame"": ""Populism/Comparison to Western Political Figures"",
  ""Main Subject"": ""Javier Milei"",
  ""Stance toward main subject"": ""Intrigued/Slightly Critical (due to the 'crazier' descriptor)"",
  ""Topic Focus"": ""Political/Cultural (comparing Milei to Trump and referencing happenings in Argentina)""
}
```","```json
{
  ""Narrative Frame"": ""Institutional Impact/Policy Critique"",
  ""Main Subject"": ""Javier Milei"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (specifically, research funding and policy)""
}
```",Economic Revival/National Renewal (framed as 'Making Argentina Great Again'),Javier Milei,Supportive,"Institutional (economic policy, government size, political ideology) & International Relations (implying a model for other countries)",Populism/Comparison to Western Political Figures,Javier Milei,Intrigued/Slightly Critical (due to the 'crazier' descriptor),Political/Cultural (comparing Milei to Trump and referencing happenings in Argentina),Institutional Impact/Policy Critique,Javier Milei,Critical,"Institutional (specifically, research funding and policy)",,,
119,['Should Trump be defenstrated from the Mar-a-Lago?'],"['""He\'d be wise to head back to Mar-a-Lago and await his sentencing.""\n\nRep. Bennie Thompson\nre Donald Trump']","['Rep. Thompson: Trump Should Go Back to Mar-a-Lago', '""Former 1/6 Committee Chair Tells Trump To Go Home And Wait For His Sentencing"" ""Former 1/6 Committee Chair Rep. Bennie Thompson (D-MS) told Trump to go back to Mar-a-Lago and wait for his felony sentencing."" # GOP # felon # Trump # maralago # jan6 # insurrection']","```json
{
  ""Narrative Frame"": ""Legal Justice/Accountability & Political Spectacle"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical (through rhetorical question implying removal/punishment)"",
  ""Topic Focus"": ""Legal (implying consequences for actions taken) & Political (using provocative language to generate discussion and potentially express disapproval)""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```",Legal Justice/Accountability & Political Spectacle,Donald Trump,Critical (through rhetorical question implying removal/punishment),Legal (implying consequences for actions taken) & Political (using provocative language to generate discussion and potentially express disapproval),Legal Justice,Donald Trump,Critical,Legal,Legal Justice,Trump,Critical,Legal,,,
120,"['VIDEO: It Takes Real Courage For Dennis Quaid To Endorse Donald Trump', ""🔴 Dennis Quaid Reveals Why He's Voting For Trump With Unexpected Compliment"", '🔥LOOK CLOSELY!! THIS IS NOT DENNIS QUAID! AS A LIFELONG WATCHER OF HIS MOVIES, THIS IS DEFINITELY SOMEONE IN A FRICKIN MASK!! NOTHING IS AS IT APPEARS TO BE….WAKE UP! # Truth # Discernment # TheMatrix # Trump # Trump2024 # IStandWithTrump # FakeHollywood # hollywood # NotDennisQuaid', 'Dennis Quaid Praises Donald Trump: ‘I Think I’m Gonna Vote for Him’', 'Dennis Quaid Praises Donald Trump: ‘I Think I’m Gonna Vote for Him’', ""🔴 Dennis Quaid Reveals Why He's Voting For Trump With Unexpected Compliment"", 'Dennis Quaid is supporting Trump']","['Wow. Dennis Quaid is as batshit crazy as his brother Randy.\n\n#trump', ""Does Dennis Quaid think my biggest objection to donald trump is that he's an asshole? That's one of the LEAST objectionable things about him"", 'Dennis Quaid Endorses Trump For President: ‘He’s My A——‘\n\n#celebritynews #politics #DennisQuaid #DonaldTrump', ""I also believe that Donald Trump is Dennis Quaid's asshole.\n\new.com/dennis-quaid...""]",['Wow. Dennis Quaid is as batshit crazy as his brother Randy. # trump'],"```json
{
  ""Narrative Frame"": ""Media Bias / Disinformation"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Legal/Institutional (specifically questioning the authenticity of an endorsement and suggesting manipulation/deception)""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias/Celebrity Influence & Political Commentary"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political Commentary/Personal Attack""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias/Character Assassination"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Indirectly Critical"",
  ""Topic Focus"": ""Cultural/Personal""
}
```
",Media Bias / Disinformation,Donald Trump,Supportive,Legal/Institutional (specifically questioning the authenticity of an endorsement and suggesting manipulation/deception),Media Bias/Celebrity Influence & Political Commentary,Donald Trump,Critical,Political Commentary/Personal Attack,Media Bias/Character Assassination,Trump,Indirectly Critical,Cultural/Personal,,,
121,"['WATCH: DonaldJTrumpJr greets supporters in El Salvador after leaving President nayibbukele’s inauguration. The people love Trump and MAGA everywhere! 🇺🇸🇺🇸🇺🇸🇸🇻🇸🇻🇸🇻', '@ DonaldJTrumpJr greets Argentina president Javier Milei in El Salvador at Nayib Bukele inauguration']","['🇸🇻 Nayib Bukele’s inauguration was a display of his ironclad control of the military and the obedience he expects. The Biden administration completed its diplomatic U-turn to applause from San Salvador, who also flirted with a far-right delegation featuring Donald Trump Jr. elfaro.net/en/202406/el...']","['El Salvador Welcomes Donald Trump Jr. for Bukele’s Inauguration Ceremony Donald Trump Jr arrived in El Salvador on Friday to participate in the inauguration of President Nayib Bukele’s second term on Saturday. “El Salvador has the great pleasure of receiving @DonaldTrumpJr, who has traveled to attend the inauguration ceremony of President-elect @nayibbukele. Welcome to El Salvador,” the government house posted on the soci [...] # ElSalvador # Featured # LatinAmerica # News']","```json
{
  ""Narrative Frame"": ""Celebration/Positive Association"",
  ""Main Subject"": ""Donald Trump Jr."",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (International Relations/Diplomacy) & Cultural (Display of Support/Nationalism)""
}
```","```json
{
  ""Narrative Frame"": ""Systemic Inequality & Authoritarianism (with elements of Media Bias)"",
  ""Main Subject"": ""Nayib Bukele (President of El Salvador)"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (specifically, government power, military control, and international relations)""
}
```","```json
{
  ""Narrative Frame"": ""International Relations / Political Alliance"",
  ""Main Subject"": ""Donald Trump Jr."",
  ""Stance toward main subject"": ""Neutral"",
  ""Topic Focus"": ""Institutional (specifically, international relations and governmental events)""
}
```",Celebration/Positive Association,Donald Trump Jr.,Supportive,Institutional (International Relations/Diplomacy) & Cultural (Display of Support/Nationalism),Systemic Inequality & Authoritarianism (with elements of Media Bias),Nayib Bukele (President of El Salvador),Critical,"Institutional (specifically, government power, military control, and international relations)",International Relations / Political Alliance,Donald Trump Jr.,Neutral,"Institutional (specifically, international relations and governmental events)",,,
122,['How about President Trump picking Nikki Haley as VP? Scoop up all her voters!!'],['Trump VP pick will be a MAGA yes-man. It should be Haley instead - USA TODAY'],"['With Nikki Haley beating Biden in the 2024 polling, the RNC could implement a nightmare scenario: Have Nikki Haley as the # Rethuglican nominee (Only If she promised a full pardon to the # Trump family), and have # DonaldTrumpJr as the VP. Then, the great tRumpkin would endorse her, # MAGATS would unify behind her, and we could be stuck with four more years of stupid.']","```json
{
  ""Narrative Frame"": ""Strategic Political Maneuvering"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (specifically, political strategy and VP selection)""
}
```","```json
{
  ""Narrative Frame"": ""Political Strategy/Personnel"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (specifically, political appointments and the selection process for Vice President)""
}
```","```json
{
  ""Narrative Frame"": ""Political Strategy/Scenario Planning (with elements of distrust/concern)"",
  ""Main Subject"": ""Nikki Haley and Donald Trump"",
  ""Stance toward main subject"": {
    ""Nikki Haley"": ""Critical (presented as a potential tool for Trump)"",
    ""Donald Trump"": ""Critical (portrayed negatively, through terms like 'tRumpkin' and implications of manipulating MAGA voters)""
  },
  ""Topic Focus"": ""Institutional (RNC strategy), Political (election prospects, endorsements), and Personal (references to Trump family and Jr.)""
}
```",Strategic Political Maneuvering,Donald Trump,Supportive,"Institutional (specifically, political strategy and VP selection)",Political Strategy/Personnel,Donald Trump,Critical,"Institutional (specifically, political appointments and the selection process for Vice President)",Political Strategy/Scenario Planning (with elements of distrust/concern),Nikki Haley and Donald Trump,"{'Nikki Haley': 'Critical (presented as a potential tool for Trump)', 'Donald Trump': ""Critical (portrayed negatively, through terms like 'tRumpkin' and implications of manipulating MAGA voters)""}","Institutional (RNC strategy), Political (election prospects, endorsements), and Personal (references to Trump family and Jr.)",,,
123,"['Trump Will be on Fox & Friends Sunday at 6:00am Eastern!', 'Trump on Fox News part Two Weekend', 'Trump on Fox News part One Weekend']","['6/2/24 - Trump on Fox & Friends this morning at 6am. (Posted at 1:54am, ET).']","['Trump on Fox *Sunday* AM: The network says that ""Fox & Friends Weekend"" co-hosts Will Cain, Rachel Campos-Duffy and Pete Hegseth ""will sit down with Trump for his first interview following the criminal trial in which a New York jury found him guilty on 34 felony counts"" 👆🏼 flagging my correction — I originally wrote that this is airing Saturday — it\'s on Sunday']","```json
{
  ""Narrative Frame"": ""Media Representation/Visibility"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (specifically media access/coverage)""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias/Coverage"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Neutral"",
  ""Topic Focus"": ""Institutional (Media)""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Neutral"",
  ""Topic Focus"": ""Legal""
}
```",Media Representation/Visibility,Donald Trump,Supportive,Institutional (specifically media access/coverage),Media Bias/Coverage,Donald Trump,Neutral,Institutional (Media),Legal Justice,Trump,Neutral,Legal,,,
124,"['Real Estate Investor Says Nobody Wants to do Business in New York City Following Trump Verdict (VIDEO)', 'Real Estate Investor Says Nobody Wants to do Business in New York City Following Trump Verdict (VIDEO) Posted by Mike LaChance', ""Billionaire CEO, real estate investor on impact of Trump verdict: 'Nobody wants to do business' in NYC"", 'Real Estate Investor Says Nobody Wants to do Business in New York City Following Trump Verdict (VIDEO)', ""Billionaire CEO, real estate investor on impact of Trump verdict: 'Nobody wants to do business' in NYC"", 'Real+Estate+Investor+Says+Nobody+Wants+to+do+Business+in+New+York+City+Following+Trump+Verdict+(VIDEO)', 'Real Estate Investor Says Nobody Wants to do Business in New York City Following Trump Verdict (VIDEO)', 'Real Estate Investor Says Nobody Wants to do Business in New York City Following Trump Verdict (VIDEO) # Trump']",['Donald Trump? The New York real estate developer?'],"[""Billionaire CEO, real estate investor on impact of Trump verdict: 'Nobody wants to do business' in NYC""]","```json
{
  ""Narrative Frame"": ""Economic Impact/Consequence"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical (indirectly - through highlighting negative economic consequences of the verdict)"",
  ""Topic Focus"": ""Institutional/Economic""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias/Deconstruction"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional/Cultural""
}
```","```json
{
  ""Narrative Frame"": ""Economic Impact/Business Climate"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical (indirectly - the quote suggests a negative consequence related to Trump)"",
  ""Topic Focus"": ""Institutional (specifically, the impact of a legal verdict on the business environment within a city)""
}
```",Economic Impact/Consequence,Trump,Critical (indirectly - through highlighting negative economic consequences of the verdict),Institutional/Economic,Media Bias/Deconstruction,Donald Trump,Critical,Institutional/Cultural,Economic Impact/Business Climate,Donald Trump,Critical (indirectly - the quote suggests a negative consequence related to Trump),"Institutional (specifically, the impact of a legal verdict on the business environment within a city)",,,
125,"['NY Appeals Court Rules Trump Can Sue Niece Over NY Times Article', 'NY Appeals Court Rules Trump Can Sue Niece Over NY Times Article', 'NY Appeals Court Rules Trump Can Sue Niece Over NY Times Article']","['@nytimes: Donald Trump can proceed with a lawsuit against Mary Trump, his estranged niece, over her role as a source for a New York Times investigation into his finances, a New York State appeals court said on Thursday. https://t.co/BF7Z2aIjfM', '⚠️  DONALD TRUMP CAN SUE NIECE OVER NY TIMES ARTICLE, NY APPEALS COURT RULES\n\nFull Story → https://PiQSuite.com/reuters/donald-trump-can-sue-niece-over-ny-times-article-ny-appeals-court-rules', 'Donald Trump can proceed with a lawsuit against Mary Trump, his estranged niece, over her role as a source for a New York Times investigation into his finances, a New York State appeals court said on Thursday.', '⚠️  DONALD TRUMP CAN SUE NIECE OVER NY TIMES ARTICLE, NY APPEALS COURT RULES\n\nFull Story → https://PiQSuite.com/reuters/donald-trump-can-sue-niece-over-ny-times-article-ny-appeals-court-rules', 'Donald Trump can sue niece over NY Times article, court rules', 'Appeals Court: Trump Can Sue Niece Over NY Times Piece']","['“Donald Trump can proceed with a lawsuit against Mary Trump, his estranged niece, over her role as a source for a New York Times investigation into Mr. Trump’s finances, a New York State appeals court said on Thursday,” the New York Times reports.', ""“The appeals court cleared the way for Trump to sue his niece, Mary Trump, for providing information to the New York Times for its 2018 article on the former president's taxes.”""]","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Neutral"",
  ""Topic Focus"": ""Legal""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Neutral"",
  ""Topic Focus"": ""Legal""
}
```",Legal Justice,Trump,Supportive,Legal,Legal Justice,Donald Trump,Neutral,Legal,Legal Justice,Donald Trump,Neutral,Legal,,,
127,"['They Just Martyred Donald Trump', 'They Just Martyred Donald Trump', 'I thought Trump was a living martyr before! Now, he is a LIVING, living martyr!', '""Trump is NOT a martyr, Trump is a LOT smarter."" - Gregory Alan Elliott # trump # trump2024 # maga # saveamerica # americafirst', 'They have made Trump a martyr']","['@ChrisCameronNYT: After being convicted in his NY felony criminal trial, Donald Trump presented himself as a martyr with ""wounds all over"" and a champion of religious freedom while addressing the evangelical Faith &amp; Freedom Coalition in Washington. https://t.co/eUPQ3mcpWA', 'Believing Trump is a martyr is a symptom of being a privileged asshole who’s never been actually aggrieved in their sheltered little lives. Supporting Trump despite his endless examples of moral bankruptcy is cuck mentality. They want a dictator daddy so badly.', '“Trump advisers indicated the campaign will seek to portray him as a martyr to energize his supporters — and run against the Department of Justice and the legal system.” www.washingtonpost.com/politics/202...', ""Eric Trump: They're Making Trump a 'Martyr'"", ""In 2017 and 2018 we were maybe right to avoid making Trump a martyr.  But by now, it doesn't have any downside.  He's weak, and Republicans aren't doing any of the things that helped him win in 2016.  They're doing the things that caused their loss in 2020.""]","['I know people are worried about turning Trump into a martyr with this conviction, but the GOP are professional martyr actors and they take any slight, like accidentally saying “happy holidays” to one, as an all-out attack on their personhood.']","```json
{
  ""Narrative Frame"": ""Persecution/Martyrdom"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Legal/Political (framing of legal actions as persecution)""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Martyrdom & Moral Bankruptcy"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal & Cultural (with personal attack elements)""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias / Political Strategy"",
  ""Main Subject"": ""Trump & the Republican Party (GOP)"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political / Institutional (specifically, the perceived performative nature of GOP reactions)""
}
```",Persecution/Martyrdom,Donald Trump,Supportive,Legal/Political (framing of legal actions as persecution),Persecution/Martyrdom & Moral Bankruptcy,Donald Trump,Critical,Legal & Cultural (with personal attack elements),Media Bias / Political Strategy,Trump & the Republican Party (GOP),Critical,"Political / Institutional (specifically, the perceived performative nature of GOP reactions)",,,
128,"['Another patriot supporting trump', 'Trump is Guilty of being an American Patriot....that is all. God Bless Trump', 'Trump is Guilty of being an American Patriot....that is all.']","[""Trump isn't a patriot. He doesn't really understand America, not really. Isn't defending the constitution or law and order or you. Trump is just what he always's been, a spoiled, rich kid from Queens who never earned a dime without his daddy until a TV show conned everyone. You're a sucker to him."", 'If you still support Trump at this point, just know that you are supporting fascism, which goes against freedom, a basic principle the United States was founded on, and you have no right to call yourself a “patriot”. It’s that simple. 🇺🇸 #VoteBlue2024']","['If you still support Trump at this point, just know that you are supporting fascism, which goes against freedom, a basic principle the United States was founded on, and you have no right to call yourself a “patriot”. It’s that simple. 🇺🇸 # VoteBlue2024']","```json
{
  ""Narrative Frame"": ""Persecution/Patriotism"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (framing legal/political standing) & Personal (characterizing as a 'patriot')""
}
```","```json
{
  ""Narrative Frame"": ""Patriotism & Ideological Purity"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Ideological/Cultural; Personal Attack (implied)""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Moral condemnation & Systemic threat (framing Trump's support as enabling fascism)"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Highly Critical"",
  ""Topic Focus"": ""Political/Ideological - framing support as indicative of dangerous political beliefs and questioning patriotism.""
}
```",Persecution/Patriotism,Trump,Supportive,Institutional (framing legal/political standing) & Personal (characterizing as a 'patriot'),Patriotism & Ideological Purity,Trump,Critical,Ideological/Cultural; Personal Attack (implied),Persecution/Moral condemnation & Systemic threat (framing Trump's support as enabling fascism),Trump,Highly Critical,Political/Ideological - framing support as indicative of dangerous political beliefs and questioning patriotism.,,,
