,response
25,"truth_Narrative_Frame                             Persecution/Legal Justice & Corruption
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                  Institutional & Legal
bluesky_Narrative_Frame                              Corruption & Persecution/Resistance
bluesky_Main_Subject                   Donald Trump (TFG - Trump First Generation/a c...
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                                Persecution & Anti-Establishment
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                   Institutional (specifically referencing 'deep ...
dtype: object"
31,"truth_Narrative_Frame                                          Patriotism/National Pride
truth_Main_Subject                                            United States (implicitly)
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Cultural/Symbolic (displays of national pride ...
bluesky_Narrative_Frame                                        National Pride/Patriotism
bluesky_Main_Subject                   Unclear (Likely Lebanon - indicated by the Leb...
bluesky_Stance_toward_main_subject                                   Supportive/Positive
bluesky_Topic_Focus                    Cultural/Symbolic (Uses emojis and celebratory...
mastodon_Narrative_Frame               Unclear/Positive Sentiment (Lacks specific fra...
mastodon_Main_Subject                                                            Unclear
mastodon_Stance_toward_main_subject      Positive (Implied - through use of 'beautiful')
mastodon_Topic_Focus                     Unclear (Lacks specific topic - purely emotive)
dtype: object"
32,"truth_Narrative_Frame                                   Us vs. Them / Political Conflict
truth_Main_Subject                                    Unclear (Implied: Trump vs. Biden)
truth_Stance_toward_main_subject       Neutral (Presents a choice, doesn't inherently...
truth_Topic_Focus                      Political/Institutional (References a broader ...
bluesky_Narrative_Frame                                     Political Competition/Choice
bluesky_Main_Subject                       Unclear (Implicitly, Presidential Candidates)
bluesky_Stance_toward_main_subject     Neutral (Encouraging choice without explicit e...
bluesky_Topic_Focus                                Institutional (The electoral process)
mastodon_Narrative_Frame                            Us vs. Them / Political Polarization
mastodon_Main_Subject                  Unclear (Implies a choice between two politica...
mastodon_Stance_toward_main_subject    Neutral (Presents a choice without explicit en...
mastodon_Topic_Focus                   Political / Institutional (Highlights a percei...
dtype: object"
33,"truth_Narrative_Frame                       Political Opposition/Character Assassination
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject            Supportive (of himself, critical of RFK Jr.)
truth_Topic_Focus                                                              Political
bluesky_Narrative_Frame                         Political Strategy/Electoral Calculation
bluesky_Main_Subject                                     Robert F. Kennedy Jr. (RFK Jr.)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                  Political/Electoral
mastodon_Narrative_Frame               Political Strategy/Calculated Alliance & Poten...
mastodon_Main_Subject                                    Robert F. Kennedy Jr. (RFK Jr.)
mastodon_Stance_toward_main_subject    Critical (portrays RFK Jr. as detrimental to D...
mastodon_Topic_Focus                   Political - specifically electoral strategy an...
dtype: object"
35,"truth_Narrative_Frame                                           Persecution & Corruption
truth_Main_Subject                                              Donald Trump & Joe Biden
truth_Stance_toward_main_subject       {'Donald Trump': 'Supportive', 'Joe Biden': 'C...
truth_Topic_Focus                                                  Legal & Institutional
bluesky_Narrative_Frame                Legal Justice & Political Corruption (using 'b...
bluesky_Main_Subject                                                     Trump & the GOP
bluesky_Stance_toward_main_subject     Critical (of Trump and the GOP, suggesting the...
bluesky_Topic_Focus                    Legal & Institutional (focusing on the justice...
mastodon_Narrative_Frame               Legal Justice & Political Decay (Banana Republic)
mastodon_Main_Subject                                    Donald Trump & Republican Party
mastodon_Stance_toward_main_subject    Critical (towards Trump and the Republican Par...
mastodon_Topic_Focus                   Legal & Institutional (with a strong political...
dtype: object"
37,"truth_Narrative_Frame                       National Security/Protection
truth_Main_Subject                                          Donald Trump
truth_Stance_toward_main_subject                              Supportive
truth_Topic_Focus                                   Institutional/Policy
bluesky_Narrative_Frame                Policy Proposal/National Security
bluesky_Main_Subject                                               Trump
bluesky_Stance_toward_main_subject                 Neutral/Observational
bluesky_Topic_Focus                                 Institutional/Policy
mastodon_Narrative_Frame                    National Security/Protection
mastodon_Main_Subject                                       Donald Trump
mastodon_Stance_toward_main_subject                           Supportive
mastodon_Topic_Focus                     Institutional (Policy Proposal)
dtype: object"
38,"truth_Narrative_Frame                                      Election Fraud/Disinformation
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                    Legal/Institutional
bluesky_Narrative_Frame                    Election Integrity/Fraud & Political Strategy
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional & Political (specifically, elect...
mastodon_Narrative_Frame                          Media Bias & Disinformation/Conspiracy
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Legal/Institutional (specifically, election in...
dtype: object"
39,"truth_Narrative_Frame                                Persecution/Victimhood & Media Bias
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Critical (through portraying Teigen's concerns...
truth_Topic_Focus                      Cultural/Personal (Focuses on a celebrity's st...
bluesky_Narrative_Frame                                       Persecution/Fear-mongering
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                    Personal/Cultural
mastodon_Narrative_Frame                                         Persecution/Retribution
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                   Personal/Cultural
dtype: object"
41,"truth_Narrative_Frame                                              Political Shift/Trend
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Supportive (through highlighting positive trends)
truth_Topic_Focus                      Institutional (focus on electoral trends and s...
bluesky_Narrative_Frame                Political Cynicism/Disillusionment & Strategic...
bluesky_Main_Subject                               Donald Trump & Joe Biden (implicitly)
bluesky_Stance_toward_main_subject     Critical (of both, but primarily focusing on T...
bluesky_Topic_Focus                    Political/Institutional - focuses on youth vot...
mastodon_Narrative_Frame                  Systemic Decline/Loss of Faith in Institutions
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Neutral/Observational (with potential for impl...
mastodon_Topic_Focus                   Institutional/Political (focus on youth voter ...
dtype: object"
43,"truth_Narrative_Frame                  Global Political Instability & Impact on US Po...
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Supportive (framing international events as po...
truth_Topic_Focus                      Institutional & Political (examining the impli...
bluesky_Narrative_Frame                                                  Unclear/Novelty
bluesky_Main_Subject                         None (Focus on European politics generally)
bluesky_Stance_toward_main_subject                                 Neutral/Observational
bluesky_Topic_Focus                        Institutional (referencing European politics)
mastodon_Narrative_Frame                                             Unclear/Questioning
mastodon_Main_Subject                                          None (EU as a collective)
mastodon_Stance_toward_main_subject                                  Neutral/Inquisitive
mastodon_Topic_Focus                                          Institutional/Geopolitical
dtype: object"
44,"truth_Narrative_Frame                         Smear/Character Assassination & Projection
truth_Main_Subject                                                         Trump & Biden
truth_Stance_toward_main_subject       {'Trump': 'Highly Critical (Accusations of ped...
truth_Topic_Focus                      Personal Attack & Political Allegation (focuse...
bluesky_Narrative_Frame                            Moral Outrage/Character Assassination
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                       Highly Critical
bluesky_Topic_Focus                    Personal Attack/Moral Accusation (with legal e...
mastodon_Narrative_Frame                      Persecution & Smear Campaign / Moral Panic
mastodon_Main_Subject                                       Trump & the Republican Party
mastodon_Stance_toward_main_subject                                      Highly Critical
mastodon_Topic_Focus                   Cultural & Political (with elements of persona...
dtype: object"
45,"truth_Narrative_Frame                                 Political Competition/Polling Data
truth_Main_Subject                                                  Biden & Trump (both)
truth_Stance_toward_main_subject                                                 Neutral
truth_Topic_Focus                                      Institutional (Polling/Elections)
bluesky_Narrative_Frame                                     Electoral/Political Analysis
bluesky_Main_Subject                                      Both Republicans and Democrats
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                    Institutional (referring to survey data and el...
mastodon_Narrative_Frame                          Systemic Inequality/Electoral Dynamics
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject    Critical (indirectly, through analysis of pote...
mastodon_Topic_Focus                                             Institutional/Electoral
dtype: object"
47,"truth_Narrative_Frame                                    Institutional/Political Process
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, the Republican Na...
bluesky_Narrative_Frame                                        Persecution/Legal Justice
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Supportive (implies unfair treatment/persecution)
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                              Legal Justice & Political Strategy
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Supportive (framing potential prison address a...
mastodon_Topic_Focus                   Legal & Institutional (specifically, the logis...
dtype: object"
48,"truth_Narrative_Frame                                 Political Participation/Civic Duty
truth_Main_Subject                     Nevada Republican Voters (implicitly, and pote...
truth_Stance_toward_main_subject       Supportive (encouraging participation in a Rep...
truth_Topic_Focus                      Institutional (specifically, the electoral pro...
bluesky_Narrative_Frame                          Political Competition/Electoral Process
bluesky_Main_Subject                          Jacky Rosen (incumbent Democratic Senator)
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                    Institutional (election process, political cam...
mastodon_Narrative_Frame                                    Political Strategy/Influence
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                                   Institutional (electoral process)
dtype: object"
50,"truth_Narrative_Frame                                      Political Support/Endorsement
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (Political Process - Endorsement...
bluesky_Narrative_Frame                                    Political Influence/Patronage
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                                    Political Strategy/Influence
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                   Institutional (Political Process)
dtype: object"
52,"truth_Narrative_Frame                                        Political Dominance/Success
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, the primary elect...
bluesky_Narrative_Frame                       Political Accountability/Electoral Failure
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (political primaries, electoral ...
mastodon_Narrative_Frame                               Political Strategy/Power Dynamics
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Neutral/Observational (with subtle implication...
mastodon_Topic_Focus                   Institutional (specifically, Republican Party ...
dtype: object"
53,"truth_Narrative_Frame                               Personal Attack & Political Derision
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Personal Attack/Cultural - targeting Trump's p...
bluesky_Narrative_Frame                                         Personal Attack / Gossip
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                   Personal Attack / Political Gossip
mastodon_Narrative_Frame                    Media Bias/Misinformation & Political Attack
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                     Political/Media
dtype: object"
54,"truth_Narrative_Frame                             Stolen Election / Political Conspiracy
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Legal (allegations of election fraud) & Instit...
bluesky_Narrative_Frame                  Election Integrity/Fraud & Political Corruption
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (election processes) & Political...
mastodon_Narrative_Frame               Election Integrity/Fraud (specifically, allegi...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically, electoral process...
dtype: object"
55,"truth_Narrative_Frame                               Positive Framing/Appealing to Values
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, relationship with...
bluesky_Narrative_Frame                                 Systemic Inequality/Labor Rights
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional/Political (specifically, labor p...
mastodon_Narrative_Frame                            Systemic Inequality & Accountability
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional & Legal (focus on policy/actions...
dtype: object"
56,"truth_Narrative_Frame                            Political Accountability/Responsibility
truth_Main_Subject                     Schumer & McConnell (shared focus, but Schumer...
truth_Stance_toward_main_subject       {'Schumer': 'Critical (of McConnell)', 'McConn...
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                                Political Conflict/Accountability
bluesky_Main_Subject                                                       Chuck Schumer
bluesky_Stance_toward_main_subject     Critical (implied, through reporting of his st...
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                               Political Conflict/Accountability
mastodon_Main_Subject                                                      Chuck Schumer
mastodon_Stance_toward_main_subject                      Neutral (reporting a statement)
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
59,"truth_Narrative_Frame                                     Religious Freedom/Moral Values
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Cultural/Institutional (referencing religious ...
bluesky_Narrative_Frame                      Media Bias & Critique of Rhetoric/Deception
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Political/Institutional - Critique of Trump's ...
mastodon_Narrative_Frame                 Cultural/Institutional Critique & Legal Justice
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                      Cultural/Institutional with Legal Implications
dtype: object"
60,"truth_Narrative_Frame                            Accountability/Responsibility & Protest
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Legal/Political - specifically regarding accus...
mastodon_Narrative_Frame                              Political Disruption/Demonstration
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                             Political/Institutional
dtype: object"
61,"truth_Narrative_Frame                          Media Bias/Deception & Political Strategy
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, the use of AI in ...
bluesky_Narrative_Frame                Media Bias / Technological Concerns (specifica...
bluesky_Main_Subject                                                Both Biden and Trump
bluesky_Stance_toward_main_subject     Critical (concerned about their potential misu...
bluesky_Topic_Focus                    Institutional (examines the potential impact o...
mastodon_Narrative_Frame                             Institutional/Political Obstruction
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
62,"truth_Narrative_Frame                                 Immigration Policy/Border Security
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                 Institutional (Policy)
bluesky_Narrative_Frame                Policy/Immigration & Potential Persecution (fr...
bluesky_Main_Subject                                       Lindsey Graham & Donald Trump
bluesky_Stance_toward_main_subject     {'Lindsey Graham': 'Critical (reporting on his...
bluesky_Topic_Focus                    Policy/Institutional (specifically, immigratio...
mastodon_Narrative_Frame               Policy Proposal/Consequence & Potential Spectacle
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                           Institutional/Policy (Immigration Policy)
dtype: object"
63,"truth_Narrative_Frame                         Legal Justice / Institutional Manipulation
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Critical (implies impropriety and a bending of...
truth_Topic_Focus                      Institutional (focuses on rules and exceptions...
bluesky_Narrative_Frame                 Institutional/Rule of Law & Potential Corruption
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                            Institutional (Party Bylaws & Exceptions)
mastodon_Narrative_Frame               Political Corruption & Persecution (framed as ...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically, the actions and b...
dtype: object"
64,"truth_Narrative_Frame                                 Institutional/Policy & Culture War
truth_Main_Subject                                                  Biden Administration
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                   Institutional/Policy
bluesky_Narrative_Frame                               Institutional Change/Policy Debate
bluesky_Main_Subject                                  Republicans (as a political group)
bluesky_Stance_toward_main_subject     Neutral (reporting on actions, without explici...
bluesky_Topic_Focus                    Institutional/Policy (specifically, legislativ...
mastodon_Narrative_Frame                 Institutional/Policy Change & Cultural Conflict
mastodon_Main_Subject                                 Republicans (as a political party)
mastodon_Stance_toward_main_subject    Neutral (reporting on actions, though hashtags...
mastodon_Topic_Focus                   Institutional (specifically, legislative actio...
dtype: object"
65,"truth_Narrative_Frame                                       Political Strategy/Alignment
truth_Main_Subject                                          Tulsi Gabbard & Donald Trump
truth_Stance_toward_main_subject       Critical (towards Gabbard as a potential runni...
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                          Political Alignment/Potential Coalition
bluesky_Main_Subject                                        Donald Trump & Tulsi Gabbard
bluesky_Stance_toward_main_subject     {'Donald Trump': 'Neutral/Speculative (explori...
bluesky_Topic_Focus                    Institutional/Political (focus on potential po...
mastodon_Narrative_Frame                                 Political Alignment/Realignment
mastodon_Main_Subject                                       Tulsi Gabbard & Donald Trump
mastodon_Stance_toward_main_subject    {'Tulsi Gabbard': 'Neutral/Observational', 'Do...
mastodon_Topic_Focus                   Institutional (Political Party Affiliation & P...
dtype: object"
67,"truth_Narrative_Frame                                        Polling/Data Interpretation
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                     Critical (implies a negative trend)
truth_Topic_Focus                      Institutional (focus on polling data as an ind...
bluesky_Narrative_Frame                                Electoral Shift/Political Polling
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                        Institutional (Polling Data/Electoral Trends)
mastodon_Narrative_Frame                              Political Shift/Electoral Dynamics
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                 Electoral/Political
dtype: object"
68,"truth_Narrative_Frame                           Character Assassination/Personal Attacks
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                         Highly Critical
truth_Topic_Focus                                                        Personal Attack
bluesky_Narrative_Frame                                                 Corruption/Fraud
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional/Legal (with elements of personal...
mastodon_Narrative_Frame                          Character Assassination/Moral Critique
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                  Personal/Character
dtype: object"
70,"truth_Narrative_Frame                                       Persecution & Abuse of Power
truth_Main_Subject                                                                   FBI
truth_Stance_toward_main_subject                                         Highly Critical
truth_Topic_Focus                      Institutional (specifically targeting law enfo...
bluesky_Narrative_Frame                Institutional Threat/Distrust & Political Pola...
bluesky_Main_Subject                   Donald Trump (and by extension, 'Trump Republi...
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                      Institutional (FBI) & Political
mastodon_Narrative_Frame                 Persecution/Attack on Institutions & Media Bias
mastodon_Main_Subject                  Trump Republicans (referring to a political gr...
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically targeting an insti...
dtype: object"
72,"truth_Narrative_Frame                  Unclear - potentially persecution or confirmat...
truth_Main_Subject                     Unclear - The post lacks a specific subject. I...
truth_Stance_toward_main_subject       Supportive - The repeated use of 'True' indica...
truth_Topic_Focus                      Unclear - Without context, the topic is imposs...
bluesky_Narrative_Frame                Unclear - potentially agreement with an underl...
bluesky_Main_Subject                   Unclear - The post lacks any explicit subject....
bluesky_Stance_toward_main_subject     Unclear - Since there's no explicit subject, t...
bluesky_Topic_Focus                    Unclear - Lacking any explicit content, the to...
mastodon_Narrative_Frame               Unclear - potentially legal justice or media b...
mastodon_Main_Subject                  Unclear - without context, it's impossible to ...
mastodon_Stance_toward_main_subject    Unclear - The single word ""True"" is not inhere...
mastodon_Topic_Focus                   Unclear - Dependent entirely on the preceding ...
dtype: object"
